"","source","key_resp_2.keys","key_resp_2.rt","key_resp_5.keys","key_resp_5.rt","slider_2.response","slider_2.rt","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","stim","participant","session","date","expName","psychopyVersion","OS","frameRate","key_resp_3.keys","key_resp_3.rt","key_resp_4.keys","key_resp_4.rt","slider.response","slider.rt","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","key_resp.keys","key_resp.rt","X1","slider.started","slider.stopped","fleece.started","fleece.stopped","X13","X7","mouse.x","mouse.y","mouse.leftButton","mouse.midButton","mouse.rightButton","mouse.clicked_name","mouse.started","mouse.stopped","X17","foot.started","foot.stopped","X18","text.started","text.stopped","X20","phone","fleece.numClicks","fleece.timesOn","fleece.timesOff","foot.numClicks","foot.timesOn","foot.timesOff","strut.started","strut.stopped","strut.numClicks","strut.timesOn","strut.timesOff","stimulus.started","stimulus.stopped","puso.started","puso.stopped","puso.numClicks","puso.timesOn","puso.timesOff","button_2.started","button_2.stopped","button_2.numClicks","button_2.timesOn","button_2.timesOff","ins.started","ins.stopped","cross.started","cross.stopped","top_ins.started","top_ins.stopped","bottom_ins.started","bottom_ins.stopped","text_2.started","text_2.stopped","text_3.started","text_3.stopped","X56","seek.started","seek.stopped","seek.numClicks","seek.timesOn","seek.timesOff","sock.started","sock.stopped","sock.numClicks","sock.timesOn","sock.timesOff","son.started","son.stopped","son.numClicks","son.timesOn","son.timesOff","sin_sp.started","sin_sp.stopped","sin_sp.numClicks","sin_sp.timesOn","sin_sp.timesOff","son_sp.started","son_sp.stopped","son_sp.numClicks","son_sp.timesOn","son_sp.timesOff","su.started","su.stopped","su.numClicks","su.timesOn","su.timesOff","soon.started","soon.stopped","soon.numClicks","soon.timesOn","soon.timesOff","key_resp.started","key_resp.stopped","X71","text_6.started","text_6.stopped","key_resp_2.started","key_resp_2.stopped","seek_3.started","seek_3.stopped","seek_3.numClicks","seek_3.timesOn","seek_3.timesOff","sock_3.started","sock_3.stopped","sock_3.numClicks","sock_3.timesOn","sock_3.timesOff","son_3.started","son_3.stopped","son_3.numClicks","son_3.timesOn","son_3.timesOff","stimulus_3.started","stimulus_3.stopped","sin_sp_3.started","sin_sp_3.stopped","sin_sp_3.numClicks","sin_sp_3.timesOn","sin_sp_3.timesOff","son_sp_3.started","son_sp_3.stopped","son_sp_3.numClicks","son_sp_3.timesOn","son_sp_3.timesOff","ins_3.started","ins_3.stopped","cross_3.started","cross_3.stopped","su_3.started","su_3.stopped","su_3.numClicks","su_3.timesOn","su_3.timesOff","soon_3.started","soon_3.stopped","soon_3.numClicks","soon_3.timesOn","soon_3.timesOff","slider_2.started","slider_2.stopped","top_ins_2.started","top_ins_2.stopped","bottom_ins_2.started","bottom_ins_2.stopped","text_4.started","text_4.stopped","text_5.started","text_5.stopped","key_resp_3.started","key_resp_3.stopped","text_7.started","text_7.stopped","X81","X140","X122","X134","stimulus_4.started","stimulus_4.stopped","ins_4.started","ins_4.stopped","cross_4.started","cross_4.stopped","seek_text.started","seek_text.stopped","sock_text.started","sock_text.stopped","such_text.started","such_text.stopped","soon_text.started","soon_text.stopped","sin_text.started","sin_text.stopped","son_text.started","son_text.stopped","su_text.started","su_text.stopped","key_resp_4.started","key_resp_4.stopped","X117","X105","stimulus_practice.started","stimulus_practice.stopped","ins_5.started","ins_5.stopped","cross_5.started","cross_5.stopped","seek_text_practice.started","seek_text_practice.stopped","sock_text_practice.started","sock_text_practice.stopped","such_text_practice.started","such_text_practice.stopped","soon_text_practice.started","soon_text_practice.stopped","sin_text_practice.started","sin_text_practice.stopped","son_text_practice.started","son_text_practice.stopped","su_text_practice.started","su_text_practice.stopped","key_resp_5.started","key_resp_5.stopped","X100","button.started","button.stopped","button.numClicks","button.timesOn","button.timesOff","X12","X16","X23","pit.started","pit.stopped","pit.numClicks","pit.timesOn","pit.timesOff","X22","X28","X30","X36","X46","X42","X50","X48","X44","X52","X54","X58"
"759","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-23_20h16.59.668.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noid6","001","2021-10-23_20h16.59.668","phoneme_categorization_task","2021.2.3","Win32","60.12506013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"space","3.3182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv","space","18.9783","z","19.7129","6.016666667","8.4972","0","0","0","0","1","stim/sis.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,"m","13.2929","4.011111111","4.0723","0","1","1","1","1","stim/sos.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sus.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409","space","7.1435","p","7.6934","5","3.4683","0","0","0","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sys.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,"q","7.9432","2.022222222","1.9838","0","1","1","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sos.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,"m","6.6513","5.005555556","1.5801","0","2","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sis.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,"q","12.8711","6","2.1927","0","3","3","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sis.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,"q","4.7898","6.038888889","1.704","1","0","4","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sus.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,"p","3.7921","5","3.2668","1","1","5","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sos.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,"m","5.9957","5.027777778","4.0966","1","2","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sys.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,"v","13.9638","2.988888889","2.1335","1","3","7","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sos.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,"m","4.4121","6","2.0894","2","0","8","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","/Users/kyleparrish/Documents/GitHub/dissertation_parrish/data/raw/pct/PARTICIPANT_phoneme_categorization_task_2021-10-26_17h13.36.025.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stim/sus.wav",NA,"001","2021-10-26_17h13.36.025","phoneme_categorization_task","2021.2.3","Win32","59.87665409",NA,NA,"p","3.0291","6","1.3409","2","1","9","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
